Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,IA,2018,"12        ",Female,17,Right-Handed,170.2,26,170,1,Car,5,.495,51,Baseball/Softball,503,465,658,679,1000,1000,26,"Same length",30,30,"Same length",March,Fall,No,No,Seafood,"Energy drink",Art,9,10.5,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,15,8,1,48,2,17,1,5,6,122,60,13,2,"A lot","High school",Pop,"Super strength",Rich,Relative,"Arts, culture, sports"
USA,WI,2017,"12        ",Male,16,Right-Handed,196,29,202,3,Car,5,.393,37,Basketball,1000,1000,1000,1000,500,750,29,"Same length",9,9,"Same length",June,Summer,Yes,No,Poultry,Water,History,6,8,5,"Yes - broadband connection","Internet chat or instant messaging",10,10,4,1,15,15,16,0,1,10,10,2,0,0,Some,"Graduate degree","Rap/Hip hop",Invisibility,Healthy,Relative,Health
USA,CA,2018,"12        ",Female,18,Right-Handed,167,26,104,2,Bus,45,.528,33,Basketball,882,791,957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,DC,2012,"6         ",Female,12,Right-Handed,151,22,150,2,Walk,7,0.571,,Walking/Hiking,1000,1000,1000,1000,500,1000,22,"Same length",70,60,"Index finger",February,Fall,No,No,"Rice/Noodle dishes",Water,English,8,7,4,"Yes - broadband connection","In person",0,0,44,3,6,48,48,21,21,2,21,34,0,2,"A lot","Graduate degree",Pop,"Freeze time",Happy,Relative,"International aid"
USA,WA,2017,"12        ",Female,17,Right-Handed,159,23,160,1,Car,27,.338,37,Soccer,675,600,250,500,900,960,22,"Right foot",83,86,"Ring finger",May,Summer,No,No,Pizza/Pasta,Juice,English,7,10,4,"Yes - broadband connection","Text messaging",54,64,10,0.5,35,30,10,5,7,6,14,10,0,7,"A lot","Undergraduate degree",Country,"Freeze time",Happy,Teacher,"Arts, culture, sports"
USA,NM,2011,"12        ",Male,16,Right-Handed,,27,184.5,1,Car,10,0.21,36,Basketball,40,40,40,,40,60,27,"Same length",100,102,"Ring finger",October,Summer,Yes,No,Meat,"Sports drink",History,7,9,5,"Yes - other","Cell phone",,,28,0,1,14,21,0,0,24,9,10,0,2,"Very little","Graduate degree","Rap/Hip hop","Super strength",Famous,"Sports person","Education/Youth development"
USA,AZ,2019,"6         ",Male,12,Right-Handed,160,26,160,2,Walk,10,2.106,228,Soccer,1000,1000,500,400,200,500,26,"Same length",77,70,"Index finger",March,Winter,Yes,Yes,Other,Water,"Physical education",9,8,3,"Yes - broadband connection","In person",3,3,10,2,5,14,2,7,0,7,7,7,10,7,Some,"Some college","Rap/Hip hop",Telepathy,Happy,"Sports person",Environment
USA,SC,2012,"11        ",Male,17,Left-Handed,182,28,170,1,Car,10,45,45,None,300,500,1000,500,0,700,30,"Left foot",10,7.9,"Index finger",December,Fall,Yes,No,"No favorite","Soft drink (caffeinated)",Other,6,10,3,"Yes - other","Text messaging",5,3,4,0,3,3,8,7,5,0,5,5,0,2,Some,"Graduate degree","Rock and roll",Telepathy,Happy,Friend,"Education/Youth development"
USA,IL,2014,"11        ",Female,16,Right-Handed,,,,,Walk,12,0.336,32,Other,668,668,668,877,545,551,,"Same length",,,"Ring finger",June,Spring,Yes,No,Seafood,Juice,History,8,10,3,"Yes - broadband connection","Internet chat or instant messaging",4,7,3,0,7,4,0,20,4,5,10,0,0,7,Some,"Undergraduate degree","Rock and roll","Super strength",Healthy,Teacher,Health
USA,CA,2018,"12        ",Male,16,Right-Handed,183,27,183,2,Walk,15,0.3,32,"Martial Arts",50,50,60,70,999,999,27,"Same length",75,72,"Index finger",August,Winter,No,No,Meat,Water,English,7,8,5,"Yes - broadband connection","Text messaging",200,200,5,0,15,5,30,30,0,1,5,2,0,15,"A lot","Graduate degree",Pop,"Freeze time",Happy,Other,Health
USA,CA,2011,"12        ",Female,17,Right-Handed,162,24,171,2,Car,11,.511,48,Soccer,754,813,800,,800,1000,24,"Same length",85,85,"Same length",January,Fall,Yes,No,"No favorite",Water,History,6,8,3,"Yes - broadband connection","Text messaging",100,100,9,2,6,6,14,1,5,7,19,21,0,2,"A lot","Undergraduate degree",Other,Invisibility,Happy,Relative,"International aid"
USA,MA,2015,"7         ",Female,12,Ambidextrous,170,26,164,7,Bus,25,.249,28,"Martial Arts",800,500,750,1000,1000,1000,26,"Same length",84,74,"Index finger",August,Summer,Yes,No,Pizza/Pasta,Coffee,Other,9,5,5,"Yes - other","Text messaging",150,200,50,1,10,140,24,4,80,168,168,7,9,0,"Very little",Other,Pop,Telepathy,Rich,Other,Other
USA,NC,2017,"12        ",Female,17,Right-Handed,164,23,161,1,Car,10,0.473,39,Other,700,700,600,500,700,900,23,"Same length",77,76,"Index finger",November,Fall,No,Yes,Salads,Water,Science,6,9,2,"Yes - broadband connection","Cell phone",100,200,4,0,12,1,4,0,7,5,10,10,12,1,"A lot","Graduate degree",Pop,Fly,Happy,Relative,Environment
USA,NJ,2012,"12        ",Female,17,Right-Handed,176,25,177,2,Walk,3,.344,20,Swimming,700,900,700,800,400,400,25,"Same length",80,81,"Ring finger",March,Summer,No,No,Fruit,Water,English,7,10,6,"Yes - broadband connection","Text messaging",30,30,8,2,20,5,20,0,4,2,10,0,0,3,"A lot","Undergraduate degree","Rock and roll",Telepathy,Healthy,Friend,Environment
USA,GA,2018,"6         ",Female,11,Right-Handed,155,24,178,2,Car,15,0.467,39,Swimming,1000,1000,1000,1000,500,700,22,"Right foot",700,600,"Index finger",June,Summer,No,No,Poultry,Water,Music,9,11,6,"Yes - other","In person",0,0,56,2,3,5,1,4,1,0,4,0,0,6,"Very little","Graduate degree",Pop,Telepathy,Famous,Other,Health
USA,SC,2016,"11        ",Female,16,Right-Handed,173,26,26,1,Car,12,0.436,41,Dancing,950,950,950,950,330,330,26,"Same length",90,85,"Index finger",June,Summer,No,No,Seafood,Tea,Other,8,12,4,"Yes - broadband connection","Cell phone",9,14,120,2,5,110,0,0,7,120,120,7,0,7,"A lot","Undergraduate degree","Rhythm and blues (R&B)",Invisibility,Happy,"Business person","Arts, culture, sports"
USA,OK,2017,"11        ",Female,17,Right-Handed,172.7,24.6,166.5,2,Car,15,.371,32,"Martial Arts",481,300,711,407,0,150,24.8,"Left foot",85,85,"Same length",January,Fall,Yes,No,Meat,Juice,Music,7,10,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100,120,1,3,1,9,30,1,15,10,1,10,62,0,"A lot","Graduate degree",Pop,Invisibility,Happy,Other,Environment
USA,IL,2014,"6         ",Male,12,Right-Handed,147,23,146,2,Bicycle,4,.403,6,Basketball,492,508,1000,1000,246,503,22,"Right foot",80,90,"Ring finger",April,Summer,No,No,"No favorite",Water,"Mathematics and statistics",10,9,6,"Yes - other","Cell phone",0,1,7,1,6,9,7,3,3,3,3,2,0,3,Some,"Graduate degree",Country,Fly,Happy,Relative,"Education/Youth development"
USA,IN,2014,"12        ",Female,17,Right-Handed,152,22,157,1,Car,5,.914,33,Gymnastics,200,500,600,500,900,900,22,"Same length",100,110,"Ring finger",June,Spring,No,No,Meat,"Soft drink (caffeinated)","Mathematics and statistics",6,9,6,"Yes - broadband connection","Text messaging",250,250,8,1,6,3,6,0,2,6,2,,0,3,,,,,,,
USA,NY,2016,"12        ",Male,17,Right-Handed,178,25,183,1,Car,12,.369,36,Other,600,350,200,200,700,700,25,"Same length",,56,"Ring finger",April,Spring,No,No,Meat,Water,Other,5,10,3,"Yes - broadband connection","Internet chat or instant messaging",20,25,6,1,2,3,1,30,6,3,117,4,10,5,Some,"Undergraduate degree",Other,"Freeze time",Rich,"Business person","Wildlife, animals"
USA,WI,2016,"12        ",Male,17,Right-Handed,186,28,193,2,Car,15,.125,32,Basketball,1000,1000,1000,1000,0,0,28,"Same length",104,111,"Ring finger",December,Fall,Yes,No,Pizza/Pasta,Milk,"Physical education",9,10,4,"Yes - broadband connection","In person",25,50,10,1,5,5,20,10,10,2,5,5,0,2,"Very little","Graduate degree","Rap/Hip hop",Fly,Happy,Relative,Health
USA,NJ,2011,"10        ",Female,15,Right-Handed,157,23,135,2,Walk,5,.37,32,Gymnastics,700,850,400,,1000,1000,22.5,"Right foot",86,90,"Index finger",July,Spring,No,No,Desserts,Water,"Social studies",5,10,4,"Yes - broadband connection","In person",8,5,20,2,30,0,10,0,7,15,18,6,0,0,Some,"Graduate degree","Punk rock",Telepathy,Happy,Friend,"Wildlife, animals"
USA,NY,2014,"6         ",Female,11,Ambidextrous,159,24,152,2,Car,3,.84,56,Swimming,,,,,,,25,"Left foot",80,80,"Same length",May,Spring,No,No,Desserts,Tea,Music,8,9,3,"Yes - broadband connection","Text messaging",15,20,10,2,5,15,9,8,3,3,14,7,0,0,None,"Some college",Classical,Telepathy,Happy,Actor,"Arts, culture, sports"
USA,WI,2017,"11        ",Male,16,Right-Handed,189,28.5,196,2,Car,10,.293,40,Baseball/Softball,1000,513,380,396,16,48,28.5,"Same length",107,114,"Ring finger",June,Summer,No,No,Other,Water,,7.5,10,4,"Yes - other","Cell phone",12,20,24,4,6,4,20,5,36,7,3,12,0,5,"A lot","Undergraduate degree","Rap/Hip hop",,Rich,Relative,Health
USA,RI,2013,"6         ",Male,12,Right-Handed,151,24,150,2,Car,4,0.353,36,Lacrosse,500,750,500,500,1000,1000,24,"Same length",75,80,"Ring finger",February,Summer,No,No,Meat,Water,"Physical education",10.5,9,,"Yes - broadband connection",Other,8,9,2,1,.5,2,4,5,3,1,3,1,0,1,"Very little","Graduate degree","Punk rock","Freeze time",Happy,"Sports person",Health
USA,PA,2019,"12        ",Male,17,Right-Handed,179,27,183,1,Car,7,.333,31,Soccer,588,503,599,845,305,850,27,"Same length",10,10,"Same length",February,Summer,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",7.5,10,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,50,8,1,6,4,11,3,15,4,15,5,2,4,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,Health
USA,PA,2017,"6         ",Female,12,Left-Handed,150,22,156,2,Bus,30,.638,76,Gymnastics,199,80,1000,199,20,1000,21,"Right foot",60,65,"Ring finger",May,Summer,No,Yes,"No favorite","Sports drink",Art,5,6,14,"Yes - other","In person",30,40,24,1,4,3,10,0,14,6,1,3,0,7,"Very little","Some college","Punk rock",Telepathy,Healthy,"Musician or singer",Health
USA,NM,2011,"12        ",Female,18,Right-Handed,168,26,168.5,1,Car,5,0.328,30,Dancing,856,503,754,,503,754,26.5,"Left foot",90,70,"Index finger",April,Spring,No,No,Seafood,Water,Music,8,10,2,"Yes - broadband connection","Text messaging",10,10,6,3,15,24,5,2,10,5,30,2,0,3,Some,"Graduate degree",Other,Fly,Happy,Relative,"Wildlife, animals"
USA,MA,2018,"11        ",Male,18,Right-Handed,177.8,27.5,17.9,1,Car,3,.29,44,Basketball,800,700,800,850,700,999,27.5,"Same length",80,90,"Ring finger",July,Summer,No,No,Breads/Sandwiches,Water,History,6,7,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,70,15,1,1,3,7,10,10,1,5,10,0,0,Some,"Graduate degree","Rap/Hip hop",Telepathy,Rich,Other,"Wildlife, animals"
USA,VA,2019,"12        ",Female,16,Right-Handed,160,22,162,1,Car,8,0.363,46,Tennis,500,900,400,300,900,1000,22,"Same length",73,74,"Index finger",May,Summer,No,No,Fruit,Water,"Social studies",8,9,5,,"In person",20,15,10,0,20,15,5,0,5,1,1,5,20,2,"A lot","Graduate degree",Pop,Telepathy,Happy,Relative,Health
USA,MN,2018,"9         ",Female,14,Right-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,15,10,20,0,,70,25,5,2,12,"Very little","Graduate degree","Rhythm and blues (R&B)","Freeze time",,,Health
USA,MN,2014,"11        ",Male,16,Right-Handed,62,24,,1,Car,12,.4,41,"Hockey (Ice)",999,950,999,1000,800,800,24,"Same length",75,80,"Ring finger",July,Winter,Yes,No,Meat,Water,"Physical education",7.5,10,4,"Yes - other","Text messaging",20,20,20,.5,4,3,5,2,1,3,5,5,0,1,"A lot","Graduate degree","Rap/Hip hop",Fly,Rich,"Sports person",Health
USA,NC,2018,"10        ",Male,17,Ambidextrous,182.9,28.7,182.9,1,Car,5,.311,31,Running/Jogging,1000,1000,1000,1000,250,800,28.7,"Same length",92,94,"Ring finger",July,Summer,Yes,No,Poultry,Water,Other,7,10,6,"Yes - broadband connection","In person",20,40,10,10,14,5,7,5,5,6,8,3,10,3,"Very little","Graduate degree","Rap/Hip hop",Fly,Happy,Actor,"International aid"
USA,NH,2013,"12        ",Female,17,Left-Handed,163,24,161,1,Car,10,.423,37,Soccer,904,925,701,743,219,439,26,"Left foot",100,97,"Index finger",October,Fall,Yes,No,Pizza/Pasta,Water,English,8,10,5,"Yes - broadband connection","In person",30,35,6,0,10,2,12,0,3,2,4,4,0,1,Some,"Undergraduate degree",Country,Invisibility,Happy,"Sports person",Environment
USA,RI,2013,"5         ",Female,"11 ",Right-Handed,136,21,136,"1 ",Car,3,17.10,77,Gymnastics,1000,1000,529,813,476,524,21,"Same length",78,69,"Index finger",March,Summer,No,No,Desserts,Water,"Physical education",10,11,5,"Yes - other","Text messaging",52,60,32,0,1,46,4,1,1,4,2,1,4,0,Some,"Graduate degree",Pop,Fly,Happy,Relative,Health
USA,MA,2014,"12        ",Male,17,Right-Handed,193,28,200,2,Bus,25,.337,51,Dancing,600,600,700,700,0,800,29,"Left foot",113,109,"Index finger",March,Fall,No,No,"No favorite",Milk,Science,7,8,5,"Yes - broadband connection","In person",2,2,5,0,21,32,0,10,2,2,28,12,0,10,Some,"Graduate degree",Classical,Telepathy,Rich,"Religious figure",Health
USA,CA,2016,"4         ",Female,7,Right-Handed,126,19,125,1,Car,12,0.695,65,Dancing,914,668,1000,824,636,449,19,"Same length",57,60,"Ring finger",March,Summer,No,No,"No favorite",Milk,Art,9,11,4,"Yes - broadband connection","In person",0,0,8,0,8,12,7,7,0,0,1,4,0,4,Some,"Undergraduate degree",Pop,Fly,Happy,Other,Environment
USA,WI,2019,"12        ",Male,17,Right-Handed,175,26.7,178,1,Car,"8 min",.32,69,"Football (American)",700,600,600,700,200,300,26.7,"Same length",80,65,"Ring finger",October,Fall,No,No,Meat,Water,History,6,10,5,"Yes - other","In person",10,10,7,2,10,5,5,2,10,2,20,8,20,5,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,"Sports person","Wildlife, animals"
USA,PA,2010,"11        ",Male,17,Right-Handed,188,27,196,2,Car,5,.5,48,"Hockey (Ice)",250,300,425,,850,975,27,"Same length",16,18,"Ring finger",May,Winter,No,No,Meat,Tea,Other,7,9,4,"Yes - other","Text messaging",200,210,10,10,1,10,20,3,1,168,10,15,25,1,"Very little",Other,Other,"Freeze time",Happy,"Sports person","Arts, culture, sports"
USA,OH,2019,"12        ",Male,16,Right-Handed,157,,,2,Car,5,,,Swimming,,,,,,,,,,,,January,Fall,Yes,No,"No favorite",Water,Science,6,10,4,"Yes - broadband connection","In person",50,55,,,,,,,,,,,,,"A lot","Graduate degree","Rhythm and blues (R&B)",Fly,Happy,Teacher,"International aid"
USA,TX,2019,"12        ",Female,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MD,2016,"6         ",Male,12,Left-Handed,150,21,148,1,Bus,20,.357,50,Soccer,1000,1000,1000,1000,200,200,21,"Same length",7,8,"Ring finger",November,Spring,Yes,No,Meat,Water,"Physical education",8,6,4,"Yes - broadband connection","Text messaging",10,20,44,1,4,21,27,27,5,1,5,3,0,1,"Very little","Graduate degree","Rap/Hip hop",Fly,Happy,Relative,Health
USA,NY,2018,"5         ",Male,10,Left-Handed,1.54,2.8,1.51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WI,2019,"7         ",Female,12,Right-Handed,00,00,00,1,Bus,"5 ",00,,Swimming,,,,,,,00,"Same length",00,00,"Ring finger",May,Summer,No,No,Desserts,Juice,"Mathematics and statistics",6,00,4,"Yes - other",Telephone,00,00,00,00,00,00,00,00,00,00,00,00,00,00,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,Actor,"Education/Youth development"
USA,MA,2016,"12        ",Male,17,Right-Handed,180,36,195,2,Walk,10,.158,,"Football (American)",100,650,650,700,1000,1000,36,"Same length",85,80,"Index finger",October,Summer,Yes,No,Pizza/Pasta,Water,History,7.5,10,6,"Yes - broadband connection","Cell phone",30,140,15,.1,9,5,16,1,3,4,15,7,4,1,"A lot","Graduate degree","Rap/Hip hop","Super strength",Happy,Politician,"Education/Youth development"
USA,NC,2017,"10        ",Female,17,Right-Handed,164,22,152,21,Car,10,0.741,53,Dancing,1000,1000,1000,1000,700,950,23,"Left foot",64,70,"Ring finger",March,Winter,No,Yes,Pizza/Pasta,Water,Science,5.5,6,3,"Yes - broadband connection","Text messaging",366,356,1,0,40,1,0,0,12,15,20,0,20,3,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,"Doctor or nurse",Environment
USA,MO,2016,"9         ",Female,14,Right-Handed,174,23,171,2,Car,15,.33,60,Basketball,500,600,400,300,200,900,23,"Same length",70,70,"Same length",December,Fall,Yes,No,Pizza/Pasta,Water,"Physical education",7,7,5,"Yes - other","In person",5,5,45,1,1,7,15,0,5,2,6,2,14,7,"Very little","Graduate degree",Country,Telepathy,Healthy,"Religious figure",Religious
USA,MA,2017,"8         ",Male,12,Right-Handed,155,24,156,1,Car,35,0.336,58,Soccer,500,500,500,500,500,500,,,80,75,"Index finger",April,Summer,No,No,Other,Milk,Art,8,5,4,"Yes - other","Text messaging",0,3,10,0,5,4,3,2,0,1,1,5,0,3,Some,Other,Other,Invisibility,Happy,Other,Other
USA,MD,2016,"10        ",Female,15,Right-Handed,159.6,21.5,163.7,2,Bus,63,0.446,39,Dancing,701,465,941,797,481,492,24,"Left foot",70.5,90.5,"Ring finger",October,Fall,No,No,Vegetables,Water,"Mathematics and statistics",6.5,9.5,6,"Yes - broadband connection","Internet chat or instant messaging",0,0,2,1,28,10,2,0,1,1,14,5,0,7,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,"International aid"
USA,OH,2013,"4         ",Male,10,Right-Handed,,,,1,Car,30,.432,126,Soccer,1000,1000,1000,1000,16,5,,,,,"Same length",January,Winter,Yes,No,Desserts,Water,"Computers and technology",10,9,3,"Yes - other","In person",0,0,52,1,7,8,70,1,40,0,3,7,7,10,Some,Other,Country,"Freeze time",Happy,Other,"Wildlife, animals"
USA,WI,2018,"12        ",Female,17,Right-Handed,173,23,168,1,Car,10,.624,48,Other,500,500,700,600,300,500,23,"Same length",75,76,"Ring finger",February,Fall,Yes,No,Pizza/Pasta,Water,Science,7,7,5,"Yes - broadband connection","Text messaging",75,100,10,.2,3,5,0,0,7,3,10,7,0,5,"A lot","Graduate degree",Pop,Fly,Happy,Relative,Health
USA,HI,2011,"9         ",Female,14,Ambidextrous,149,19,144,1,Car,70,.413,56,Dancing,727,845,797,,418,324,19,"Same length",70,65,"Index finger",July,Fall,Yes,No,Seafood,Juice,Music,8,8,3,"Yes - broadband connection","In person",0,2,40,,,,,,,,,,,,,,,,,,
USA,CO,2016,"7         ",Female,12,,158,23,160,2,Car,8,.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WY,2015,"7         ",Female,12,Right-Handed,159,21.5,151,1,Car,5,0.563,45,Swimming,1000,500,800,1000,998,1000,21.5,"Same length",65,63,"Index finger",May,Summer,No,No,Pizza/Pasta,Water,"Physical education",6,12,4,"Yes - other","Text messaging",100,110,180,1,1,5,1,0,168,160,168,50,0,1,Some,Other,"Rap/Hip hop",Invisibility,Happy,"Musician or singer",Health
USA,SC,2020,"12        ",Male,18,Right-Handed,170,24.13,190,1,Bus,10,0.472,45,None,1000,900,1000,1000,"0 ",800,25.4,"Left foot",190.5,190.5,"Index finger",December,Fall,No,No,Pizza/Pasta,Tea,Science,12:00,2:00,5,"Yes - broadband connection","In person",8,2,0,2,0,,,,21,,,,38,,Some,"Some college",,,,,
USA,PA,2018,"12        ",Male,16,Right-Handed,175,26,156,2,Car,12,0.431,38,Skateboarding/Rollerblading,834,439,743,802,979,973,26.5,"Left foot",94,104,"Ring finger",October,Fall,Yes,No,Seafood,Water,"Social studies",6,9,2,"Yes - broadband connection","Internet chat or instant messaging",50,60,3,1,15,6,5,4,20,7,60,10,0,3,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,Actor,"International aid"
USA,PA,2019,"12        ",Male,17,Right-Handed,170,27,68.5,1,Car,5,0.54,48,Cycling,400,500,600,600,500,600,26,"Right foot",70,80,"Ring finger",February,Fall,No,No,Pizza/Pasta,Water,"Mathematics and statistics",6,9,5,"Yes - broadband connection","In person",20,25,4,1,7,2,3,3,20,10,15,40,28,2,Some,"Graduate degree",Country,"Super strength",Happy,Relative,"Education/Youth development"
USA,NC,2014,"10        ",Male,16,Right-Handed,178,27.5,180,2,Car,6,.312,28,Golf,850,700,500,650,400,350,27.5,"Same length",72,80,"Ring finger",October,Winter,No,No,Fruit,"Sports drink",Science,9,10,7,"Yes - broadband connection","In person",0,0,25,.5,5,10,10,3,0,1,2,10,0,5,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,"Wildlife, animals"
USA,GA,2015,"11        ",Female,15,Right-Handed,165,26,165,2,Bus,35,.116,34,Baseball/Softball,600,700,800,800,800,900,26,"Same length",74,66,"Index finger",February,Fall,No,No,Meat,Milk,English,4,9,5,"Yes - broadband connection","Text messaging",500,500,15,2,15,4,2,0,15,20,30,5,0,1,"A lot","Graduate degree","Rock and roll",Invisibility,Rich,"Musician or singer","International aid"
USA,CA,2016,"12        ",Male,17,Right-Handed,165,25,159,4,Car,15,,,Other,200,500,300,300,800,1000,25,"Same length",70,70,"Same length",September,Summer,Yes,No,Meat,Milk,Science,7,10,4,"Yes - dial-up connection","In person",2,50,35,1,1,2,15,5,5,2,2,0,0,0,"A lot","Graduate degree",Other,"Freeze time",Rich,Friend,Health
USA,TX,2011,"12        ",Female,17,Right-Handed,159,20,151,1,Car,10,0.234,46,Soccer,417,497,460,,1000,1000,20,"Same length",70,85,"Ring finger",August,Fall,No,No,Pizza/Pasta,Water,English,4,5,4,"Yes - broadband connection","Internet chat or instant messaging",62,71,16,3,1,1,0,0,30,30,30,2,8,1,"Very little","High school","Punk rock",Telepathy,Happy,Friend,Health
USA,CO,2012,"12        ",Male,17,Right-Handed,191,29,190,2,Car,8,.288,48,"Football (American)",719,215,486,523,521,889,30,"Left foot",100,105,"Ring finger",October,Winter,Yes,No,Seafood,"Soft drink (caffeinated)","Physical education",8,12,5,"Yes - broadband connection","Text messaging",262,260,40,0,7,50,2,1,20,50,50,30,0,10,"Very little","Graduate degree",Pop,"Freeze time",Rich,Relative,"Wildlife, animals"
USA,MA,2019,"10        ",Female,15,Right-Handed,167.6,27,73.5,3,"Rail (Train/Tram/Subway)","45 ",0.422,39,Athletics,1000,500,500,900,1000,1000,27,"Same length",,,,July,Summer,No,,Poultry,Water,Other,5,9,4,"Yes - other","Text messaging",30,35,10,20,40,30,25,5,40,40,35,20,0,0,"A lot","Graduate degree",Pop,Telepathy,Happy,Other,Health
USA,FL,2015,"11        ",Female,18,Right-Handed,5,1,"3 ",1,Bus,18,1.35,43,Athletics,1000,813,1000,1000,1000,102,1,"Right foot",1,2,"Ring finger",February,Summer,No,No,"No favorite",Water,English,5,7,5,"Yes - broadband connection","Cell phone",60,80,35,120,10,120,50,60,40,24,6,10,3,20,"A lot","Graduate degree",Reggae,"Super strength",Happy,Relative,"Wildlife, animals"
USA,AZ,2019,"12        ",Female,17,Right-Handed,163,23,160,3,Car,14,.413,50,Baseball/Softball,,,,,,,24,"Left foot",65,60,"Index finger",June,Fall,Yes,No,Salads,Tea,Languages,4,,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",130,119,30,1,1,0,5,0,10,19,0,2,0,1,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"Wildlife, animals"
USA,PA,2018,"6         ",Female,11,Right-Handed,148,20.2,146,1,Car,4,0.68,73,Walking/Hiking,989,444,968,968,32,32,20.2,"Same length",70,60,"Index finger",May,Winter,Yes,No,Pizza/Pasta,Juice,Art,8,8,4,"Yes - other","In person",0,0,3,2,2,10,1,1,0.5,0.6,0.8,2,0,0.1,Some,"Graduate degree",Other,Invisibility,Happy,Other,"Wildlife, animals"
USA,IL,2018,"12        ",Male,18,Ambidextrous,80,18,100,13,Boat,"30 ",2,10,Basketball,0,0,500,800,1000,1000,18,"Same length",19,19,"Same length",October,Summer,No,No,Pizza/Pasta,"Energy drink","Physical education",6,10,4,"Yes - dial-up connection","Text messaging",1000,1000,15,1,0,20,20,20,20,20,20,20,20,20,None,"Graduate degree",,,,,
USA,CA,2016,"11        ",Female,15,Right-Handed,152.4,78,141.4,2,"Rail (Train/Tram/Subway)",80,0.492,43,Walking/Hiking,1000,800,900,700,300,300,80.5,"Left foot",65,75,"Ring finger",November,Winter,Yes,No,Pizza/Pasta,Water,History,7,11,4,"Yes - broadband connection","In person",50,40,11,1,20,2,0,0,15,25,20,5,0,3,"A lot","Graduate degree",Pop,Telepathy,Happy,"Musician or singer","Wildlife, animals"
USA,MO,2017,"6         ",Female,12,Right-Handed,152.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MI,2015,"12        ",Male,17,Right-Handed,177,28,173,2,Car,5,0.499,46,Soccer,200,200,100,80,80,10000,28,"Same length",,72,"Same length",June,Summer,No,No,Meat,"Sports drink","Physical education",6,8,6,"Yes - broadband connection","Text messaging",250,250,10,1,0,8,6,2,3,100,100,24,0,2,Some,"Some college","Rap/Hip hop",Telepathy,Rich,Relative,"International aid"
USA,ID,2018,"12        ",Male,22,Right-Handed,165,30,166,2,Walk,5,0.661,44,Soccer,600,500,400,450,200,300,30,"Same length",64,68,"Ring finger",February,Spring,Yes,No,Pizza/Pasta,Milk,"Physical education",7,9,4,"Yes - other","Cell phone",20,20,30,2,40,10,4,0,3,6,8,1,20,2,Some,"Some college","Rock and roll","Freeze time",Happy,"Religious figure","Education/Youth development"
USA,CA,2016,"12        ",Male,16,Right-Handed,170,29,170,2,Walk,10,.583,35,Bowling,900,900,920,900,800,850,29,"Same length",80,90,"Ring finger",July,Spring,Yes,No,Pizza/Pasta,Water,Science,7,9,4,"Yes - other","Text messaging",200,220,4,0,30,8,3,0,3,35,15,6,0,4,"A lot","Graduate degree",Pop,Telepathy,Happy,Relative,"Wildlife, animals"
