Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,KY,2015,"6         ",Male,11,Right-Handed,145,23,150.3,1,Bus,30,.469,72,"Football (American)",406,262,112,332,5,118,23,"Same length",60.5,70,"Ring finger",June,Summer,No,No,Meat,"Energy drink",Science,8,3,6,"Yes - other","Text messaging",0,0,5,3,1,3,1,3,2,3,3,4,2,1,"A lot","Some college","Heavy metal",Invisibility,Rich,Relative,"Wildlife, animals"
USA,KY,2019,"7         ",Female,12,Right-Handed,5'2,23,86,1,Bus,5,0.579,57,Soccer,500,500,500,500,500,500,23,"Same length",80,60,"Index finger",June,Summer,No,No,Seafood,Water,Other,3,0,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",1000,1000,8,8,2,1,0,10,10,20,1,0,0,0,"A lot","Undergraduate degree",Pop,Fly,Rich,"Business person",Other
USA,KY,2012,"6         ",Female,11.5,Right-Handed,,25,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,KY,2012,"6         ",Male,12,Right-Handed,,28,64,1,Bus,85,0.363,23,"Football (American)",1000,1000,1000,1000,0,0,27,"Right foot",8,9,"Ring finger",December,Winter,No,No,Meat,Tea,"Physical education",9,12,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",4,4,0,0,5,6,0,1,0,12,0,4,12,12,"A lot","Graduate degree",Country,Telepathy,Healthy,Relative,Health
USA,KY,2015,"6         ",Male,11,Right-Handed,154,25.5,157.5,1,Car,15,.3938,57,Golf,930,500,1000,500,300,300,24.5,"Right foot",100,60,"Index finger",June,Summer,No,No,Fruit,Milk,"Mathematics and statistics",9,8,5,"Yes - broadband connection","In person",0,0,15,0,.50,1,5,17,0,1,30,1,0,1,Some,Other,Other,Invisibility,Happy,Other,Other
USA,KY,2012,"6         ",Male,12,Right-Handed,152.4,24.5,152.4,1,Bus,70,0.26,37,Baseball/Softball,500,1000,1000,999,400,411,24.5,"Same length",90,70,"Index finger",November,Spring,Yes,No,Meat,Water,"Physical education",9,8,4,"No internet connection","In person",05,15,6,2,2,10,8,8,1,3,1,4,9,5,"Very little","Graduate degree",Country,"Super strength",Healthy,Relative,"Wildlife, animals"
USA,KY,2015,"6         ",Male,12,Left-Handed,169,24,150,1,Bus,20,0.35,67,"Football (American)",513,380,1000,610,75,337,24,"Same length",35,35,"Same length",July,Summer,No,No,Meat,Milk,History,8,6,5,"Yes - broadband connection","In person",0,0,24,2,1,3,4,3,3,0,2,3,0,0,Some,Other,Country,"Freeze time",Famous,"Sports person","Wildlife, animals"
USA,KY,2013,"8         ",Male,14,Right-Handed,152.4,24,162,1,Bus,17,0.152,39,"Football (American)",777,573,233,877,99,99,24,"Same length",70,65,"Index finger",February,Summer,No,No,Other,Water,"Mathematics and statistics",9,9," 7","Yes - broadband connection","In person",0,0,9,0,1,7,4,1,0,0,1,0,0,1,None,"Some college",Pop,"Super strength",Rich,"Sports person","International aid"
USA,KY,2018,"10        ",Male,15,Right-Handed,174,27,171,2,Car,25,.331,57,Basketball,856,556,401,102,925,936,27,"Same length",75,82,"Ring finger",February,Summer,Yes,No,Meat,Water,"Mathematics and statistics",6,9,4,"Yes - broadband connection","Text messaging",25,50,4,1,15,10,10,8,0,2,3,10,0,1,Some,"Graduate degree",Pop,Fly,Happy,Relative,"Education/Youth development"
USA,KY,2018,"10        ",Female,15,Right-Handed,160,23,165,3,Bus,80,.552,45,Tennis,481,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
